name,manufacturer,length,diameter,launch_mass,dry_mass,thrust,burn_duration,engine
Emeraude,LRBA,9.0,1.4,14.7,1500.0,274.0,93.0,Vexin
Amethyste,LRBA,14.0,1.4,20.3,2500.0,415.0,119.0,Valois
8K95V,OKB1,2.8,1.4,3.0,,240.0,42.0,RD RT-1-3
AJ10-104,AJGC,4.5,1.39,4.5,599.0,36.0,,AJ10-104
AJ10-104D,AJGC,4.5,1.39,4.5,599.0,36.0,,AJ10-104
DSV-3E-3,AJGC,5.2,1.39,6.0,785.0,33.7,400.0,AJ10-118E
DSV-3N-4,AJGC,6.3,1.39,5.6,784.0,41.4,335.0,AJ10-118F
DSV-3P-4,MDAC,6.0,1.39,5.6,784.0,41.4,335.0,AJ10-118F
DSV-3P-4B,MDAC,6.0,1.39,5.4,845.0,42.0,322.0,TR-201
A1P,LMSC/AJSP,3.8,1.37,8.3,1450.0,,,A1P-1
A2P,LMSC/AJSP,4.3,1.37,10.1,1450.0,,,A2P-1
A2E,LMSC/AJSP,4.3,1.37,10.1,1450.0,,,A2P-1
A3P,LMSC/AJSP,4.4,1.37,11.1,1270.0,,,A3P-1
A1P Stage 2,LMSC/AJSP,2.0,1.37,4.3,951.0,,,A1P-2
A2P Stage 2,LMSC/ABL,2.1,1.37,4.2,860.0,,,X-250
A2E Stage 2,LMSC/HERC,2.1,1.37,4.2,860.0,,,X-250
X-260,LMSC/ABL,2.3,1.37,4.9,815.0,,,X-260
Alfa,AERIT,3.8,1.37,6.5,1000.0,250.0,57.0,Alfa
Black Arrow St2,SROE,3.2,1.37,3.5,535.0,69.0,113.0,Gamma 2
X-265,MARTO,3.0,1.37,4.0,,,1.2,X-265
Squirt St 1,MARTO,2.0,1.37,1.0,,,1.2,Recruit
Squirt St 2,MARTO,1.0,1.37,1.0,,,1.5,Cherokee
15Zh59A,MITT,3.1,1.36,6.0,,,,15Zh59A
15Zh59B,MITT,3.1,1.36,5.0,,,,15Zh59B
Hyperbola-1 Stage 1,XJRY,8.7,1.4,18.0,,770.0,,Hyperbola-1 M1
Hyperbola-1 Stage 2,XJRY,6.7,1.4,13.0,,597.0,,Hyperbola-1 M2
Hyperbola-1 Stage 3,XJRY,2.6,1.4,3.9,,195.0,,Hyperbola-1 M3
Hyperbola-1 Stage 4,XJRY,1.9,1.4,1.0,,60.0,,Hyperbola-1 M4
GS-1,XIDO,7.8,1.4,17.0,,590.0,,Ceres-1 M1
GS-2,XIDO,4.4,1.4,8.0,,274.0,,Ceres-1 M2
SQ-1S,SANJ,7.4,1.4,5.4,1645.0,93.2,,DF-11
KZ-1A St1,ARMT,6.0,1.35,16.6,,,65.0,DF-21-1
DF-21,ARMT,6.0,1.35,16.6,,,65.0,DF-21-1
DF-26,ARMT,6.0,1.35,10.0,,,65.0,DF-26-1
ZQ-1 Stage 3,ARMT,2.0,1.35,2.0,,,,ZQ-1-3
Shaheen 2 St 1,ARMT,9.5,1.35,20.0,,,65.0,DF-21-1
DF-21 St2,ARMT,4.0,1.35,8.7,,,62.0,DF-21-2
KZ-2 St3,HEXI,2.0,1.35,3.2,,,55.0,KZ2-3
Shaheen St 2,PKNDC,4.4,1.35,4.0,,,,Shaheen-2
Shaheen 3 St 2,PKNDC,4.4,1.35,4.0,,,,Shaheen-2
Ababeel St 3,PKNDC,3.3,1.35,4.0,,,,Ababeel
Shavit 1,IAI,7.5,1.35,13.0,1200.0,775.0,55.0,ATSM-13
ATSM-9,IAI,5.3,1.35,9.1,1000.0,610.0,55.0,ATSM-9
Jericho IIIA1,IAI,7.5,1.35,10.0,,,,
Jericho IIIA2,IAI,7.5,1.35,10.0,,,,
RSA-3-1,IAI,6.3,1.35,10.2,1100.0,456.0,52.0,RSA-3-1
RSA-3-2,IAI,6.4,1.35,11.0,1771.0,477.0,52.0,RSA-3-2
IAI Arrow-1,IAI,5.0,1.35,1.5,,,,IAI-Arrow-1
AUS-51,IAI,2.6,1.35,2.0,170.0,58.0,92.0,AUS-51
RSA-3-3,HOUW,2.1,1.35,2.0,170.0,59.0,94.0,RSA-3-3
15Zh58V,MITT,3.1,1.34,6.0,1000.0,245.0,56.0,15Zh58V
15Zh58MV,MITT,3.1,1.34,6.0,1000.0,245.0,56.0,15Zh58V
RT-21 St3,MITT,3.9,1.34,8.7,1000.0,245.0,,RD RT-21-3
Astra Stage 1,ASTRV,9.0,1.32,8.0,,140.0,,Delphin
SR19,AJSP,4.1,1.32,7.3,1070.0,267.0,65.5,SR19
SR19AJ1-ATK,ATKH,4.1,1.32,7.3,1070.0,267.0,65.5,SR19-ATK
SR19AJ1,AJSP,4.1,1.32,7.3,800.0,267.0,65.5,SR19
SR73AJ1,AJSP,2.3,1.32,3.7,410.0,152.0,61.0,SR73
SR73AJ1-ATK,ATKH,2.3,1.32,3.7,410.0,152.0,61.0,SR73-ATK
PBS,BELT/RDYNE,1.0,1.32,1.0,,1.4,,RS-14
UM129A,NISST,2.3,1.32,2.2,360.0,77.5,68.0,UM-129A
IRIS Stage,FIATA,1.7,1.31,1.7,146.0,58.0,79.0,IRIS
R-21,SKB385,12.0,1.3,16.6,,,,S5.38
R-13,SKB385,10.0,1.3,13.7,,,,S2.713
V-825,FAKEL,9.0,1.3,3.9,,,,V-825
V-825 Booster,FAKEL,10.0,1.3,14.0,,,,5S24
PDV-II Stage 1,DRDO,5.0,1.3,8.0,,,,K-4 Booster
PDV-II Stage 2,DRDO,5.0,1.3,8.0,,,,K-4 Booster
K-4 Booster,DRDO,5.0,1.3,8.0,,,,K-4 Booster
K-4 Stage 2,DRDO,5.0,1.3,8.0,,,,K-4 Stage 2
AMROC IRR,AMROC,17.7,1.29,12.2,,315.0,70.0,H500
Orion 50S,OSCC,8.9,1.27,13.4,1900.0,485.0,72.4,Orion 50S
Pegasus XL Stage 1,OSCC,10.3,1.27,17.0,2000.0,594.0,73.4,Orion 50SXL
Orion 50,OSCC,2.7,1.27,3.4,345.0,118.0,73.3,Orion 50
Orion 50XL,OSCC,3.7,1.27,4.0,420.0,196.0,72.5,Orion 50XL
Orion 50XLT,OSCC,3.7,1.27,4.0,420.0,196.0,72.5,Orion 50XLT
Orion 50SXLG,OSCC,10.0,1.27,15.0,,704.0,,Orion 50SXLG
Orion 50SXLT,OSCC,10.0,1.27,15.0,,704.0,,Orion 50SXLT
Orion 50SG,OSCC,10.0,1.27,15.0,,,,Orion 50SXLG
Sejjil,IR,8.0,1.25,13.5,2000.0,560.0,90.0,Sejjil
Sejjil Stage 2,IR,8.0,1.25,5.5,2000.0,560.0,90.0,Sejjil St 2
Hwasong-14 Stage 2,KPA,2.1,1.25,3.0,,,224.0,KPN-4D10
Taepo Dong 1,KPA,12.0,1.25,25.6,3700.0,570.0,95.0,Nodong
Scud D,KPA,16.0,1.25,15.1,2000.0,255.0,110.0,Nodong
Hwasong-7,KPA,16.0,1.25,15.1,2000.0,255.0,110.0,Nodong
Ghauri,KRLP,16.0,1.25,16.0,3000.0,255.0,110.0,Nodong
Emad,IR,16.0,1.25,15.1,2000.0,255.0,90.0,Nodong
Shahab 3,IR,16.0,1.25,15.1,2000.0,255.0,90.0,Nodong
Unha-2 Stage 3,KPA,3.0,1.25,3.0,300.0,18.0,27.0,Unha St3
Unha-3 Stage 3,KPA,3.8,1.25,4.0,500.0,18.0,27.0,Unha St3
Safir Stage 2,IR,3.0,1.25,9.0,,18.0,60.0,LRE-4
Star 48,THKE,2.0,1.22,2.2,208.0,66.4,84.1,Star 48
Star 48B,THKE,2.0,1.22,2.2,208.0,66.4,84.1,Star 48B
Star 48B AKM,THKE,2.0,1.22,2.2,116.0,66.4,84.1,Star 48B
Star 48V,THKE,2.0,1.22,2.2,140.0,68.7,84.1,Star 48V
Star 48BV,THKE,2.0,1.22,2.2,140.0,68.7,84.1,Star 48V
Delta 4H Stage 3,THKE,2.1,1.4,2.2,140.0,68.7,84.1,Star 48V
AlKahir,EGAO,10.0,1.22,10.0,,,,AlKahir
KM-V1,NISST,1.5,1.2,1.4,118.0,52.0,73.0,KM-V1
KT-1 St3,HEXI,2.0,1.2,2.0,,,,KT1-3
KZ-1 St3,HEXI,2.0,1.2,3.2,,,55.0,KZ1-3
GS-3,XIDO,3.4,1.2,4.0,,86.0,,Ceres-1 M3
Edge,XIDO,2.0,1.2,1.0,,2.0,,Edge
Hyunmoo Booster,DAC/HERCR,4.2,1.2,2.4,,800.0,,Hyunmoo 1
Hyunmoo-2A,ADD,7.0,1.2,4.0,,,,Hyunmoo-2B
Hyunmoo-2B,ADD,7.0,1.2,4.0,,,,Hyunmoo-2B
Hyunmoo-2C,ADD,7.0,1.2,4.0,,,,Hyunmoo-2B
Hyunmoo-4,ADD,7.0,1.2,4.0,,,,Hyunmoo-2B
JL-1 Stage 1,CALT,7.0,1.2,7.0,,,,JL1-1
JL-1 Stage 2,CALT,7.0,1.2,7.0,,,,JL1-2
JL-1 Stage 3,CALT,2.0,1.2,3.0,,,,JL1-3
JL-1 Stage 4,CALT,2.0,1.2,3.0,,,,JL1-4
DF-16,CASIC,7.5,1.2,12.0,,,,DF-16
Electron Stage 1,RLABN,12.1,1.2,10.2,950.0,162.0,,Rutherford
Electron Stage 2,RLABN,2.4,1.2,2.3,250.0,22.0,,Rutherford Vac
Hermes A-3B,GEMTS,10.1,1.19,5.3,2000.0,100.0,,Hermes A-3B
GEM-46,ATKH,14.7,1.17,19.3,2035.0,608.1,75.2,GEM-46
LEO-46,AJSP,11.2,1.17,22.1,1700.0,1265.0,76.0,LEO-46
LEO-7,AJSP,2.7,1.17,3.6,350.0,195.1,62.0,LEO-7
SICBM,THKU,7.5,1.17,11.6,,979.0,40.0,SICBM
SICBM St 2,AJSP,3.2,1.17,3.3,,267.0,44.0,SICBM2
SICBM St 3,HERC,2.0,1.17,1.5,,88.0,,SICBM3
SICBM PBS,MMD,0.8,1.17,0.5,,,,SICBM4
M-3A,NISST,2.3,1.14,1.1,130.0,61.0,54.0,M-3A
Vanguard,MARTB,11.4,1.14,7.7,811.0,120.0,144.0,X-405
Viking Type 9,MARTB,12.8,1.14,6.8,1000.0,93.0,105.0,NRL Viking
Algol 3A,LTV,9.4,1.14,14.3,1600.0,471.0,56.0,Algol 3A
Zefiro,FIATA,4.9,1.14,17.3,1500.0,590.0,71.0,Zefiro
15Zh59V,MITT,2.1,1.13,3.0,,,,15Zh59V
M56A1,SVC,3.8,1.12,5.2,750.0,200.0,60.0,M56A1
KZ-1 St4,HEXI,1.5,1.1,2.0,,,,KZ1-4
H-II SSB,NISST,9.0,1.1,10.5,2100.0,338.0,66.0,H-II SSB
TR-1,NASDA,7.1,1.13,10.8,3900.0,608.0,51.3,TR-1
TR-1A,NASDA,7.5,1.13,8.8,1784.0,608.0,52.0,TR-1A
Prithvi,HAL,8.5,1.1,4.5,,,,Prithvi
PDV Target St2,HAL,2.0,1.1,2.0,,,,2S-SL
PDV-II KV,DRDO,4.0,1.1,2.0,,,,PDV-ASAT
TX-500,THKXM,4.9,1.09,5.5,1030.0,2000.0,,TX-500
TX-454,THKXM,5.0,1.09,6.5,753.0,,,TX-454
TX-135,THKXM,5.2,1.09,5.3,932.0,2000.0,4.5,TX-135
PAP,BPD,11.5,1.07,12.6,3100.0,650.0s,42.0,PAP
Dolphin,STST,15.5,1.07,7.5,,155.0,,Dolphin
Hercules Booster,DAC/HERCR,4.3,1.06,2.4,,772.0,3.4,XM-42
Paekkom Booster,ADD,4.3,1.06,2.4,,,,Paekkom
Algol 1,LTV,9.4,1.02,10.7,1380.0,413.0,44.0,Algol I
Algol 1A,LTV,9.4,1.02,10.7,1200.0,420.0,44.0,Algol IA
Algol 1B,LTV,9.4,1.02,10.7,1200.0,420.0,44.0,Algol IB
Algol 1C,LTV,9.4,1.02,10.7,1200.0,440.0,44.0,Algol IC
Algol 1D,LTV,9.4,1.02,10.7,1200.0,440.0,44.0,Algol ID
Algol 2A,LTV,9.1,1.02,10.7,1200.0,380.0,60.0,Algol IIA
Algol 2B,LTV,9.1,1.02,10.7,1170.0,400.0,80.0,Algol IIB
Algol 2C,LTV,9.1,1.02,10.8,1200.0,436.0,76.0,Algol IIC
Castor 4,THKX,9.7,1.02,10.5,1200.0,428.0,53.9,TX-526
Castor 4A,THKX,13.6,1.02,11.6,1400.0,433.7,56.2,TX-780
Castor 4B,THKX,8.8,1.02,11.5,1420.0,429.0,60.9,TX-859
Castor 4AXL,THKX,15.0,1.02,15.4,2500.0,745.0,60.0,TX-780XL
GEM-40,ATKH,13.0,1.02,13.1,1315.0,499.2,63.3,GEM-40
TX-174,MARTO,2.8,1.02,2.3,251.0,117.0,39.0,TX-174
TX-175,MARTO,2.7,1.02,1.5,210.0,85.0,39.0,TX-175
Pershing 2 St1,MARTO,4.0,1.02,4.1,530.0,172.0,58.0,Pershing 2 St1
Pershing 2 St2,MARTO,2.8,1.02,5.8,350.0,134.0,46.0,Pershing 2 St2
Hermes A-3A,GEMTS,8.7,1.02,3.8,,80.0,,Hermes A-3A
S-43,IAE,8.1,1.01,8.4,1250.0,327.0,40.0,S-43
S-43TM,IAE,8.1,1.01,8.4,1250.0,327.0,40.0,S-43
S-43 VLR-R2,IAE,8.1,1.01,8.4,1250.0,327.0,40.0,S-43
S-40,IAE,5.3,1.01,5.6,1300.0,252.0,40.0,S-40
S-40TM,IAE,5.1,1.01,5.4,1190.0,202.0,58.0,S-40
S-44,IAE,1.7,1.01,1.0,127.0,33.0,66.0,S-44
S-44M,IAE,1.7,1.01,1.0,127.0,33.0,66.0,S-44
Cygnus 40,LARC/THKE,1.1,1.01,1.0,74.0,83.0,26.0,Cygnus 40
Temp,MIT,12.4,1.01,11.9,120.0,,,9M76
Temp-S,MIT,12.4,1.01,11.9,120.0,,,9M76B
Electron Stage 3,RLABN,1.0,1.0,1.0,,,,Curie
Start,MITT,2.6,1.0,1.0,300.0,100.0,53.0,Start
DS,MITT,0.5,1.0,0.5,50.0,,250.0,DS
Orion LAS,OSCC,10.0,1.0,6.0,,,,Orion LAS-AM
HAPS Stage,PRIMX,0.8,1.0,0.1,50.0,0.7,180.0,MR-107
HAPS,PRIMX,0.8,1.0,0.1,50.0,0.7,180.0,MR-107
DF-15,ARMT,9.1,1.0,6.2,,,,DF-15
Shaheen,ARMT,9.1,1.0,6.2,,,,DF-15
KSLV-1 Stage 2,KARI,1.6,1.0,1.4,200.0,80.0,44.0,KSLV SRM
SLV-3-1,VSSC,9.8,1.0,10.8,2140.0,420.0,53.0,SLV-3-1
SLV-3-1/D4,VSSC,9.8,1.0,10.8,2140.0,590.0,55.0,SLV-3-1/D4
AS-0,VSSC,10.7,1.0,11.6,2963.0,502.0,49.0,ASLV SRM
AS-1,VSSC,10.2,1.0,11.8,2900.0,702.0,45.0,ASLV AS-1
PSOM,VSSC,11.3,1.0,11.0,2000.0,677.0,44.2,PSOM
PSOM-XL,VSSC,13.5,1.0,13.5,2000.0,720.0,49.0,PSOM
S9,VSSC,10.7,1.0,11.0,2900.0,500.0,49.0,S9
Astra 1 Stage 1,ASTRV,8.0,1.0,4.0,,,,Astra E1
Astra 1 Stage 2,ASTRV,2.0,1.0,2.0,,,,Astra E1
Agni,DRDO,11.0,1.0,11.5,2900.0,700.0,50.0,Agni
Agni II Stage 2,DRDO,6.0,1.0,4.2,,,60.0,Agni St2
Agni 4 Stage 2,DRDO,6.0,1.0,4.2,,,60.0,Agni St2
KSR-III,KARI,10.0,1.0,5.6,,126.0,59.0,KSR-III
V-1000 Booster,SKB30,3.1,1.0,3.0,,1962.0,4.5,PRD-33
53T6,NOVTR,10.0,1.0,12.0,,103.0,4.0,53T6
5Ya26,NOVTR,10.0,1.0,12.0,,103.0,4.0,5Ya26
Vesta,LRBA,7.2,1.0,5.0,780.0,140.0,56.4,Vesta
8K96B (RT-2P),ARSL/PERM,5.5,1.0,4.6,1000.0,176.0,45.0,15D94
8K96B (RT-15),ARSL/PERM,4.6,1.0,4.6,1000.0,216.0,45.0,15D92
8K98V,ARSL/PERM,3.8,0.98,3.5,1000.0,215.0,45.0,15D25
8K96B,ARSL/PERM,4.6,0.98,4.6,1000.0,176.0,49.0,15D94
Orion 38,ATKH,1.3,0.97,0.9,126.0,36.0,69.6,Orion 38
M57A1,HERC,2.1,0.97,1.9,300.0,76.0,59.0,M57A1
Salman,IRGC,2.0,0.95,1.7,150.0,,65.0,Salman
Star 37FM,THKE,1.7,0.94,1.1,74.0,45.8,66.4,Star 37FM
Star 37FMV,THKE,1.7,0.94,1.1,74.0,45.8,66.4,Star 37FM
Star 37B,THKE,1.5,0.94,0.7,65.0,45.0,,Star 37B
Star 37C,THKE,1.5,0.94,1.0,83.0,45.0,,Star 37C
Star 37D,THKE,1.5,0.94,0.7,65.0,45.0,,Star 37D
Star 37E,THKE,1.7,0.94,1.1,83.0,68.0,42.0,Star 37E
Star 37F,THKE,1.7,0.94,0.9,67.0,55.5,42.0,Star 37F
Star 37XF,THKE,1.7,0.94,0.9,67.0,45.0,,Star 37XF
Star 37XE,THKE,1.7,0.94,0.9,67.0,45.0,66.0,Star 37XE
Star 37XFP,THKE,1.7,0.94,1.0,72.0,38.0,66.0,Star 37XFP
Star 37S,THKE,1.7,0.94,0.7,53.0,45.0,,Star 37S
Star 37N,THKE,1.7,0.94,0.6,64.0,45.0,,Star 37N
KM-H,NISST,1.4,0.93,0.1,13.0,,,KM-H
Oka,KBM,7.5,0.92,4.6,,,,Oka
KN-23,KBM,7.5,0.92,4.0,,,,KN-23 Motor
Iskander,KBM,7.3,0.92,3.8,,,,9M723
Iskander-M,KBM,7.3,0.92,3.8,,,,9M723
Iskander-E,KBM,7.3,0.92,3.8,,,,9M723
Stonechat I,RORD,4.5,0.92,4.8,750.0,232.0,32.3,Stonechat I
Stonechat II,RORD,4.5,0.92,5.1,750.0,242.0,32.8,Stonechat II
Black Knight,SROE,9.0,0.91,5.4,540.0,75.0,140.0,Gamma 201
Black Knight 301,SROE,9.0,0.91,5.4,540.0,75.0,140.0,Gamma 301
TX-238,THKXM,4.7,0.91,3.5,417.0,,,TX-238
Skybolt St1,DAC,3.8,0.91,2.5,,164.0,40.7,Skybolt
Skybolt St2,DAC,2.4,0.91,1.2,,81.8,41.3,Skybolt St2
Astra Stage 2,ASTRV,2.2,0.91,1.0,,28.0,,Aether
Cluster Stage 2,JPL,1.2,0.89,0.5,223.0,80.0,6.0,RTV
OS-X0,LYK/SANJ,7.4,0.88,5.4,1645.0,93.2,,DF-11
OS-M1 Stage 2,LYK/SANJ,7.4,0.88,5.4,1645.0,93.2,,DF-11
DF-11,SANJ,7.4,0.88,5.4,1645.0,93.2,,DF-11
DF-11M,SANJ,9.4,0.88,5.4,1645.0,93.2,,DF-11
Ghaznavi,PKPMO,9.4,0.88,5.4,1645.0,93.2,,DF-11
R-17,MAK,7.4,0.88,5.4,1645.0,93.2,,S5.2
Scud,MAK,8.0,0.88,6.3,1600.0,,,S5.2
Scud B,MAK,8.6,0.88,5.6,1600.0,,,S5.2
Al Hussein,MAK,9.5,0.88,5.9,1600.0,,,S5.2
Short Al Hussein,MAK,9.0,0.88,5.9,1600.0,,,S5.2
Al Abbas,MAK,10.9,0.88,7.6,1600.0,,,S5.2
Abid St2,IQ,8.0,0.88,6.0,1600.0,,,S5.2
Taepo Dong 1 Stage 2,KPA,12.0,0.88,7.5,1500.0,140.0,176.0,Nodong
R-11,OKB1,7.4,0.88,4.6,955.0,93.0,,S2.253
R-11FM,OKB1,7.4,0.88,4.5,1080.0,93.0,63.0,S2.253A
Hwasong 5,KPA,10.0,0.88,5.0,,93.0,,S2.253
Hwasong 6,KPA,10.0,0.88,5.0,,93.0,,S2.253
Hwasong 7,KPA,10.0,0.88,5.0,,93.0,,S2.253
Hwasong ER,KPA,12.0,0.88,5.0,,93.0,,S2.253
Wasserfall,WEHR,7.8,0.88,3.5,1700.0,80.0,40.0,Wasserfall
Hermes A-1,GEMTS,7.8,0.86,5.0,,71.0,,Hermes A-1
M-30,NISST,4.0,0.86,2.8,773.0,128.0,42.0,M-30
Trident C-4 Stage 3,UTC,3.3,0.86,1.9,150.0,,40.0,Trident St 3
Trident D-5 Stage 3,UTC,3.3,0.86,2.2,159.0,,40.0,Trident St 3
X-271,ABL,5.0,0.82,,,,,X-271
Viking,MARTB,14.9,0.81,4.5,800.0,93.0,70.0,NRL Viking
AJ10,AJGC,5.0,0.81,1.9,429.0,33.0,122.0,AJ10
AJ10-11B,AJGC,5.7,0.81,1.9,429.0,34.7,122.0,AJ10-11B
AJ10-40,AJGC,5.8,0.81,1.9,429.0,34.5,110.0,AJ10-40
AJ10-41,AJGC,5.8,0.81,1.9,429.0,34.5,110.0,AJ10-41
AJ10-42,AJGC,5.8,0.81,1.9,429.0,34.5,110.0,AJ10-42
AJ10-101A,AJGC,5.8,0.81,1.9,385.0,34.7,110.0,AJ10-101A
AJ10-118,AJGC,6.0,0.81,2.2,694.0,33.7,115.0,AJ10-118
AJ10-118A,AJGC,6.0,0.81,2.7,600.0,33.7,170.0,AJ10-118A
AJ10-118D,AJGC,5.8,0.81,2.7,545.0,33.7,170.0,AJ10-118D
P068,SEP,1.7,0.8,0.8,62.0,52.5,46.5,P068
Agate,SEREB,4.5,0.8,2.0,100.0,190.0,18.0,NA 801
MD-620,DASST,4.1,0.8,2.0,,,,NA 804
Topaze VE111C,SEREB,2.9,0.8,1.5,,120.0,39.0,NA 802 Soleil C
Topaze VE111L,SEREB,3.0,0.8,2.2,,156.0,44.0,NA 803 Soleil
Topaze,SEREB,4.6,0.8,2.2,,156.0,44.0,NA 803 Soleil
NA-805,DASST,5.0,0.8,4.1,,,,NA 805
Jericho-1,IAI,4.5,0.8,2.0,,,,NA 804
IAI Arrow,IAI,5.0,0.8,1.5,,,,IAI-Arrow-2
Arrow 3,IAI,6.5,0.7,1.0,,,,IAI-Arrow-3
Arrow 3 Stage 2,IAI,3.5,0.7,0.5,,,,IAI-Arrow-3
SLV-3-2,VSSC,6.4,0.8,4.9,1750.0,200.0,42.0,SLV-3-2
SLV-3-2/D4,VSSC,6.4,0.8,4.9,1750.0,200.0,42.0,SLV-3-2/D4
SLV-3-3,VSSC,2.4,0.8,1.5,440.0,60.0,46.0,SLV-3-3
SLV-3-3/D4,VSSC,2.4,0.8,1.5,440.0,60.0,46.0,SLV-3-3/D4
AS-2,VSSC,6.4,0.8,4.4,800.0,304.0,36.0,ASLV AS-2
AS-3,VSSC,2.4,0.8,1.7,650.0,90.7,45.0,ASLV AS-3
KM-M,NISST,1.3,0.8,0.6,45.0,32.0,63.0,KM-M
M-40,NISST,1.8,0.79,0.4,73.0,26.5,40.0,M-40
