name,manufacturer,length,diameter,launch_mass,dry_mass,thrust,burn_duration,engine
KM-P,NISST,1.2,0.79,0.5,42.0,31.3,44.0,KM-P
HIBEX,BOKT,3.1,0.79,6.0,,,,HIBEX
HIBEX-U,BOKT,3.1,0.79,6.0,,,,HIBEX-U
Polaris TV,LMSC,6.0,0.79,8.3,1450.0,285.0,23.0,TX-33
TX-30,THKX,5.4,0.79,2.0,,44.5,29.0,TX-30
Sergeant,THKX,4.4,0.79,3.2,,220.0,23.8,TX-30
Aerojet Jr,AJ,5.7,0.79,4.0,,254.0,28.0,Aerojet Jr
TX-20 Sergeant,THKX,6.1,0.79,4.0,,213.0,24.0,TX-20
RV-A-10,GEMTS,4.0,0.79,3.5,800.0,140.0,30.0,RV-A-10
Pollux,THKX,5.7,0.79,4.2,,,38.0,Pollux
Castor,THKX,6.0,0.79,4.2,783.0,235.0,38.0,TX-33
Castor 1,THKX,6.0,0.79,4.2,783.0,235.0,38.0,TX-33
Castor 2,THKX,6.0,0.79,4.0,565.0,259.0,37.0,TX-354-4
Castor 2A,THKX,6.0,0.79,4.0,565.0,259.0,37.0,TX-354-3
Xaero,MASTEN,4.6,0.77,1.0,,13.2,,Xaero
Avanti,LPC,13.5,0.77,6.0,,121.0,89.0,LPC-A92
GF-01A,ARMT,2.0,0.77,2.0,200.0,29.0,140.0,GF-02
GF-02,ARMT,3.9,0.77,2.0,250.0,118.0,38.0,GF-01A
MX-774,CONV,5.7,0.76,1.1,500.0,35.0,75.0,MX-774
OTRAG,OTR,7.0,0.76,,,120.0,,OTRAG
Corporal E,DAC/JPL,13.7,0.76,4.5,,89.0,63.0,Corporal E
Corporal Type 1,FIRES,13.7,0.76,5.2,,89.0,63.0,Corporal
Ajax Cluster 1810,AJ,6.0,0.76,1.2,,50.0,71.0,Ajax 1810
Ajax Cluster,AJ,6.0,0.76,1.2,,50.0,71.0,Ajax
Talos,ABL,3.4,0.76,1.5,,516.0,5.2,Talos Mk 11 Mod 2
Antares,ABL,3.3,0.76,1.2,240.0,60.0,38.0,X-254
Antares 2,ABL,2.9,0.76,1.3,107.0,93.0,36.0,X-259
Antares 2B,ABL,2.9,0.76,1.3,,93.0,36.0,X-259
Antares 3,THKE,2.9,0.76,1.4,95.0,82.3,45.0,Star 31
Al Samoud 2,IQMIC,5.0,0.76,2.0,505.0,13.8,52.0,S2.711
Shaurya,DRDO,5.6,0.75,5.0,,,,Shourya
Shaurya Booster,DRDO,2.2,0.75,3.0,,,,Shourya Booster
TX-239,THKXM,1.1,0.74,0.37,,,,TX-239
27D6,FAKEL,6.0,0.74,3.0,,,,27D6
28D6,FAKEL,2.0,0.74,1.0,,,,28D6
29D6,FAKEL,1.0,0.74,0.5,,,,29D6
SB-735,ISAS,9.1,0.74,5.1,1100.0,328.0,38.0,SB-735
ST-735,ISAS,4.6,0.74,7.4,,250.0,49.0,ST-735-1
ST-735 Stage 2,ISAS,2.0,0.74,4.0,,,,ST-735-2
NAL-735,NASDA,9.0,0.74,4.7,,250.0,49.0,NAL-735
L735,ISAS,8.4,0.74,5.0,2945.0,410.0,28.8,L735
L735(1/3),ISAS,3.9,0.74,2.5,,118.0,38.4,L735(1/3)
Waxwing,RORD,1.5,0.71,0.3,39.0,28.8,37.2,Waxwing
Pedro,THKX,3.1,0.71,1.5,250.0,244.0,11.3,TX-261-3
TX-261,THKX,3.1,0.71,1.5,250.0,244.0,11.3,TX-261-3
TX-261-2,THKX,3.1,0.71,1.5,250.0,244.0,11.3,TX-261-2
LEO-1,AJSP,1.2,0.7,0.7,45.0,50.0,51.5,LEO-1
Orbus 1,UTC,1.2,0.7,0.5,50.0,88.0,,Orbus 1
Orbus 1A,ATKE,1.2,0.7,0.5,50.0,88.0,,Orbus 1A
KM Rockoon,NISST,1.3,0.7,0.3,50.0,,,KM-D
MX-775,ABL,5.1,0.69,1.2,0.0,580.0,4.0,N-25 Snark JATO
Star 27,ATKE,1.2,0.69,0.4,24.0,26.7,34.3,Star 27
OIS,FAIR,1.2,0.69,0.4,24.0,26.7,34.3,Star 27
Star 26,ATKE,0.8,0.66,0.3,38.0,33.0,17.8,Star 26
Star 26B,ATKE,0.8,0.66,0.3,23.0,35.0,17.8,Star 26B
Star 26C,ATKE,0.8,0.66,0.3,29.0,35.0,16.8,Star 26C
AS-4,VSSC,1.4,0.66,0.5,195.0,35.0,33.0,AS-4
SLV-3-4,VSSC,1.5,0.66,0.4,98.0,27.0,33.0,SLV-3-4
Apollo LES,NAAD,10.2,0.66,2.5,,690.0,3.0,LPC A-1
P064,SUD,1.5,0.65,0.7,89.0,52.0,45.0,P064
KN-02,KBM,6.4,0.65,2.0,,,,KN-02 Motor
Tochka,KBM,6.4,0.65,2.0,,,,9M79
Tochka-U,KBM,6.4,0.65,2.0,,,,9M79-1
V-750 Booster,ISKRM,2.4,0.65,0.3,,,4.5,PRD-18
KM-D,NISST,1.0,0.63,0.3,24.0,17.4,38.0,KM-D
Cygnus 25,PARD,1.1,0.64,0.2,19.0,33.3,16.5,Cygnus 25
NOTS 500,NOTS,2.5,0.61,0.9,,,45.0,NOTS 500
Zelzal,IR,6.0,0.61,0.5,0.0,0.0,,NP-110
Zulfiqar,IR,6.0,0.61,0.5,0.0,0.0,,NP-110
Fateh-110,IR,9.0,0.61,1.0,,,,NP-110
ATACMS,AJCA,4.0,0.61,1.2,,180.0,,ATACMS
Pathfinder Zombie,AJCA,4.0,0.61,1.2,,180.0,,ATACMS
Sabre Zombie,AJCA,4.0,0.61,1.2,,180.0,,ATACMS
K-BATS,HANWHA,4.0,0.61,1.2,,,,K-BATS
HYSR,LMMI,15.0,0.61,,,270.0,,HYSR
B-611,SANJ,5.0,0.6,1.5,,,,B-611
SR 0.1,ROKSN,5.0,0.6,,,,,ROKETSAN-SR-0.1
OS-M1 Stage 3,LYK,5.0,0.6,2.0,,,,OS-M St 3
LS-C,MHITO,4.0,0.6,1.0,,,,LE-2
LS-C-7,MHITO,4.0,0.6,1.0,,,,LE-3 (T)
LS-C Booster,MHITO,2.5,0.6,0.3,,,,LS-C Booster
KN-24,KP,4.0,0.6,1.2,,,,KN-ATACMS
Seliger 1,DRG,3.0,0.6,0.5,,49.0,,Seliger 1
Seliger 3,DRG,6.0,0.6,1.0,,50.0,,Seliger 3
Alcyone,HERC,0.6,0.6,0.1,39.0,34.0,8.0,BE-3B1
Badr-1,ANSAL,5.0,0.6,1.0,,,,Badr-1
Grad,ANSAL,5.0,0.6,1.0,,,,Badr-1
BE-3,HERC,0.6,0.6,0.1,28.0,34.0,9.0,BE-3
BE-3A4,HERC,0.6,0.6,0.1,28.0,34.0,9.0,BE-3A4
BE-3A5,HERC,0.6,0.6,0.1,28.0,34.0,9.0,BE-3A5
BE-3A9,HERC,0.6,0.6,0.1,28.0,34.0,9.0,BE-3A9
M-6,ABL,4.9,0.58,1.9,954.0,365.0,5.0,M-6
Taurus,ABL/WFF,4.3,0.58,1.4,,457.0,3.5,Taurus
X-7A-1 Booster,LVN/ABL,6.0,0.58,1.9,1474.0,467.0,4.0,X-202C3
Taurion,WFF,4.3,0.58,1.4,,13.0,32.0,M112
Oriole,DTI,3.9,0.56,1.0,198.0,92.1,,GEM 22
AJ60-91,AJGC,9.1,0.56,3.0,1050.0,72.0,52.7,AJ11-6
Sonda 3-1,IAE,3.3,0.56,1.2,341.0,102.0,20.0,S-30
S31,IAE,3.2,0.56,0.9,284.0,136.0,11.0,S-31
Lance Missile,LTVM,6.2,0.56,,,20.0,114.0,P8E-9
SEPR-732,SUD,2.5,0.56,1.5,,200.0,,SEPR-732
RH-560S,VSSC,4.1,0.56,1.3,262.0,119.0,19.0,RH-560S
RH-560,VSSC,3.9,0.56,0.9,277.0,76.0,19.0,RH-560
RH-ATV,VSSC,3.7,0.56,0.9,277.0,76.0,19.0,RH-560
Stromboli,ONERA,3.0,0.56,0.9,246.0,75.0,16.0,Stromboli
Hatf I,SUPA,3.0,0.56,0.9,246.0,75.0,16.0,Stromboli
Aigle,ONERA,3.0,0.56,0.9,246.0,75.0,16.0,SEPR 737
Vesuve,ONERA,3.5,0.56,0.8,250.0,200.0,5.0,SEPR 734-1
Tacite,ONERA,4.7,0.56,1.7,455.0,170.0,20.0,SEPR 739-2
BER,ONERA,4.7,0.56,1.9,700.0,170.0,20.0,SEPR 739
Berenice St2,ONERA,3.8,0.56,1.1,372.0,170.0,20.0,SEPR 740
NSPO Booster,NSPO,2.4,0.55,1.0,,,6.0,NSPO Booster
Veronique,LRBA,7.3,0.55,1.3,278.0,40.0,45.0,Veronique
Veronique AGI,LRBA,7.3,0.55,1.3,278.0,40.0,49.0,Veronique AGI
Veronique 61,LRBA,9.5,0.55,1.9,,60.0,54.0,Veronique 61
Veronique 61M,LRBA,11.7,0.55,2.0,,60.0,56.0,Veronique 61
Veronique R,LRBA,5.8,0.55,0.5,385.0,40.0,6.5,Veronique
Veronique P2,LRBA,6.0,0.55,0.5,,10.0,,Vero P2
Veronique P6,LRBA,6.0,0.55,0.5,,20.0,,Vero P6
V-1000,SKB30,8.0,0.55,,,103.0,,S2.726
Luna-M,MIT,9.4,0.54,2.3,,,,9M21
ASAS XL,THKE,0.9,0.53,0.1,,7.0,15.0,Mk 136
Mk 72,UTC,1.7,0.53,0.7,243.0,,,Mk 72
SM-3-II-2,MHI,2.5,0.53,,,,,SM-3-II-2
SM-3-II-3,MHI,1.0,0.53,,,,,SM-3-II-3
Black Sparrow,IAI,4.8,0.53,1.2,,,,Black Sparrow
Blue Sparrow,IAI,4.8,0.53,1.2,,,,Black Sparrow
Silver Sparrow,IAI,7.0,0.53,2.5,,,,Black Sparrow
Hades,AELM,5.0,0.53,1.8,,,,Acheron
GLCM,UNK,6.4,0.53,1.8,,,,
S-520,ISAS,5.9,0.52,2.3,400.0,143.1,28.7,S-520
SS-520 St 2,ISAS,1.7,0.52,0.4,111.0,,,SS-520
Cedre St1,LRS,2.3,0.52,1.0,,138.0,,Cedre St1
Alcor,AJSP,1.9,0.52,0.5,200.0,36.0,30.0,30KS8000
Alcor IA,AJSP,1.9,0.52,0.5,200.0,49.0,23.0,23KS11000
Alcor IB,AJSP,1.9,0.52,0.5,88.0,42.0,26.0,Alcor IB
Cygnus 20,THKE/PARD,0.7,0.51,0.1,10.0,30.0,8.5,Cygnus 20
SARGE,EXOSA,11.0,0.51,1.0,363.0,24.1,60.0,SARGE
STIG-B,ARMAD,10.0,0.51,0.7,,22.5,50.0,STIG-B
OS-M1 Stage 4,LYK,1.0,0.5,1.0,,,,OS-M St 4
Star 20,THKE,1.5,0.5,0.3,26.0,26.5,27.5,Star 20
MSD,NRL,1.5,0.5,0.3,26.0,26.5,27.5,Star 20
FW4D,UTC,1.5,0.5,0.3,25.0,25.0,30.5,FW4
FW4S,UTC,1.5,0.5,0.3,32.0,25.0,30.5,FW4
Saman-1,IR,1.0,0.5,0.5,300.0,21.0,28.0,Saman-1
V-750,FAKEL,8.1,0.5,2.0,,13.8,25.0,S2.711
ZUR-215,NPOL,8.1,0.5,2.0,,13.8,25.0,S2.711
Al Samoud,IQMIC,6.0,0.5,2.0,360.0,13.8,52.0,S2.711
48N6,FAKEL,7.5,0.5,1.8,,,,48N6
Al Fatah,FATAH,4.6,0.5,1.0,454.0,130.0,15.0,Al Fatah
L500,ISAS,2.5,0.5,0.8,,69.0,27.0,L500
TT-500,NASDA,7.0,0.5,1.3,300.0,116.0,,TT-500
TT-500-S2,NASDA,3.0,0.5,0.7,200.0,61.0,,TT-500-S2
JCR Booster,NISST,5.0,0.51,0.7,,133.0,,JCR
JCR,NISST,5.0,0.51,0.7,,54.0,,JCR-S2
Upstage,BOC,1.0,0.5,0.2,,,,Upstage
Momo,IST,6.2,0.5,0.8,,,,Momo
IAI Arrow St2,IAI,2.5,0.5,0.5,,,,IAI-Arrow-2-2
Abid St3,IQ,1.0,0.5,,,,,Abid St3
NOTS 401A,NOTS,0.8,0.5,,,,7.2,NOTS 401A
Zeus A,GCR,7.0,0.5,2.0,,,,Zeus A
E-8-5 VA,NPOL,2.3,0.5,0.4,,,,E-8-5 VA
K-15 Booster,DRDO,2.0,0.5,1.0,,,,K-15 Booster
K-15 Stage 2,DRDO,5.0,0.5,2.0,,,,K-15 Stage 2
NOTS 505,NOTS,0.5,0.5,,,18.0,33.5,NOTS 500
L480S,ISAS,0.5,0.48,0.1,15.0,7.8,31.5,L480S
Long Tom,WRE,3.1,0.47,0.6,,190.0,3.6,Mayfly
Private A Booster,JPL,1.0,0.47,0.07,,98.0,0.2,T-22
Lark,FAIRA,4.2,0.46,0.5,,2.8,260.0,LR2-RM-6
X-241,ABL,1.5,0.46,0.2,25.0,12.1,36.0,X-241
RTV-A-3,NAA,2.5,0.46,0.6,280.0,12.0,,NATIV
Terrier 12-0,CONVPO,3.9,0.46,0.8,322.0,257.5,4.4,Terrier Mk12 Mod 0
Terrier,HERCR,3.9,0.46,0.9,322.0,257.5,4.4,X-256
Terrier Mk 12,HERCR,3.9,0.46,0.9,322.0,257.5,4.4,Terrier Mk12 Mod 1
Terrier Mk 70,THKX,3.9,0.46,1.0,290.0,,6.2,TX-664-4
T48,MARTB,4.0,0.46,1.0,,193.0,3.4,T48
X-248,ABL,1.8,0.46,0.3,24.0,13.4,38.6,X-248
Altair,ABL,1.8,0.46,0.3,24.0,13.0,39.0,X-248A10
Altair 2,ABL,1.5,0.46,0.3,33.0,27.2,28.0,X-258
MG-18,LPC,1.5,0.46,0.3,,,,MG-18
GCR 33KS2800,GCR,1.4,0.46,0.2,30.0,12.5,33.0,33KS2800
SRAM,BOUT,4.3,0.46,1.0,,,,LPC-415
ASAT,BOUT,4.3,0.46,1.0,,,,LPC-415
MR-12,TAIFUN,8.8,0.45,1.0,,,,MR-12
MR-20,TAIFUN,8.8,0.45,1.0,,,,MR-20
M-250,TAIFUN,8.8,0.45,1.0,,,,MR-25
MR-30,TAIFUN,8.8,0.45,1.0,,,,MR-30
SS-520 St 3,ISAS,0.6,0.45,0.078,,,,SS-520 S3
T-7,SIMED,6.0,0.45,1.0,,2.0,,T-7 LRE
T-7 booster,SIMED,1.0,0.45,0.5,,2.0,,T-7 booster
Tianying-3C,CSSAR,5.0,0.45,1.1,0.0,0.0,,Tianying 3C
Tianying-3F Booster,CSSAR,2.7,0.45,0.5,0.0,0.0,,Tianying 3F
Peregrine,MSFC,6.2,0.44,1.2,,,,Peregrine
Black Brant VA,BAL,5.2,0.44,1.0,150.0,111.0,15.0,15KS25000
Black Brant IIB,BAL,5.2,0.44,1.0,150.0,89.0,23.0,23KS20000
Black Brant VB,BAL,5.3,0.44,1.2,151.0,89.0,32.4,26KS20000
Black Brant VC,BAL,5.3,0.44,1.2,240.0,68.2,33.0,26KS20000
Black Brant I,BAL,5.3,0.44,1.1,,110.0,15.0,15KS25000
Black Brant Mk1,BAL,5.3,0.44,1.2,240.0,68.2,33.0,BB Mk1
Black Brant Mk3,BAL,5.3,0.44,1.2,240.0,68.2,33.0,BB Mk3
Black Brant Mk4,BAL,5.3,0.44,1.2,240.0,68.2,33.0,BB Mk3
Nihka,BAL,2.0,0.44,0.4,79.0,49.9,17.8,17KS12000
Raven 1/1A/2A,RORD,5.1,0.44,1.0,240.0,44.5,30.0,Raven 1
Raven 2,RORD,5.1,0.44,1.0,240.0,44.5,30.0,Raven 2
Raven 5,RORD,5.1,0.44,1.0,240.0,44.5,30.0,Raven 5
Raven 7,RORD,5.1,0.44,1.0,240.0,44.5,30.0,Raven 7
Raven 6,RORD,5.4,0.44,1.2,242.0,52.5,36.0,Raven 6
Raven 8,RORD,5.4,0.44,1.1,230.0,50.1,30.0,Raven 8
Raven 11,RORD,5.5,0.44,1.3,290.0,105.0,39.0,Raven 11
Rook,RORD,5.4,0.44,1.1,186.0,300.0,5.5,Rook
Rook II,RORD,5.4,0.44,1.2,304.0,300.0,7.0,Rook
Rook IIIA,RORD,5.4,0.44,1.1,186.0,300.0,5.5,Rook
Rook IIIB,RORD,5.4,0.44,1.1,186.0,300.0,5.5,Rook
Goldfinch,BAJ,2.5,0.44,0.4,94.0,175.0,3.5,Goldfinch IIA
Goldfinch II,BAJ,3.0,0.44,0.4,89.0,,3.5,Goldfinch II
Cuckoo IA,RORD,1.0,0.44,0.2,,80.0,4.0,Cuckoo IA
Cuckoo IB,RORD,1.2,0.44,0.2,57.0,80.9,4.1,Cuckoo IB
Cuckoo II,RORD,1.2,0.44,0.2,37.0,36.5,10.0,Cuckoo II
Cuckoo 4,RORD,1.2,0.44,0.2,,,4.3,Cuckoo 4
Saluki B,IMIS,1.0,0.44,0.56,,195.5,6.0,Saluki B
Saluki S,IMIS,1.0,0.44,0.44,,35.6,27.0,Saluki S
NSPO Stage 2,NSPO,3.9,0.42,1.0,,,30.0,NSPO Sustainer
KSR,KARI,4.0,0.42,1.2,,86.0,20.0,KSR
KSR Booster,KARI,3.6,0.42,0.8,,211.0,5.9,KSR Booster
Nike,ABL,3.6,0.42,0.7,256.0,195.6,3.4,M5E1
2.5-DS-59000,ABL,3.0,0.42,0.7,,265.0,2.5,2.5-DS-59000
X-201,ABL,3.0,0.42,0.7,,209.0,3.0,3-DS-47000
XM-17,THKX,1.0,0.42,0.2,,,,XM-17
RX-420,LAPAN,6.0,0.42,0.5,,100.0,,RX-420
K420,ISAS,5.8,0.42,1.2,200.0,110.0,17.0,K420
K420H,ISAS,5.8,0.42,1.2,200.0,110.0,17.0,K420H
K420(1/3),ISAS,2.0,0.42,,,45.0,,K420(1/3)
Lambda2-2,ISAS,8.7,0.42,1.4,300.0,110.0,17.0,K420
Lambda3-2,ISAS,11.0,0.42,1.8,300.0,110.0,17.0,K420
Lambda3-3,ISAS,4.8,0.42,0.5,100.0,110.0,,K420
AAD,HAL,6.0,0.42,1.0,,,,
Zenit,CONTR,5.6,0.42,0.6,150.0,45.0,21.0,Zenith
Malemute,THKU,3.3,0.41,0.6,100.0,55.1,22.0,TU-758
Imp Malemute,THKU,3.3,0.41,0.6,100.0,55.1,22.0,Imp Malemute
Patriot,THKU,3.3,0.41,0.6,100.0,55.1,22.0,TX-486-1
Aeolus Booster,WRE,1.8,0.41,0.3,,80.0,2.7,LAPSTAR
HAT,WRE,1.8,0.41,0.3,,90.4,2.3,Demon
Gun Projectile 16,BRL,1.0,0.41,0.1,,,,
MR-1,NMC,1.6,0.41,0.22,124.0,102.0,1.9,1.8KS7800
SPRAN-50,ONERA,2.5,0.4,0.4,,,5.6,SPRAN-50
KN-25,KP,3.0,0.4,2.0,,,,DPRK-MLRS
Nike-46,AJ,1.0,0.4,1.0,,392.0,2.0,2-AS-22000
Nike-47,AJ,1.0,0.4,1.1,,392.0,2.0,2.5-AS-18000
Lacrosse,MARTO,2.1,0.4,0.3,,168.0,2.6,TX-52
ISRO-CES,ISRO,6.0,0.4,,,,,ISRO-CES
STIG-A,ARMAD,9.7,0.39,0.7,,22.5,50.0,STIG-A
Neptune,ONERA,3.2,0.39,0.5,150.0,20.0,32.0,Neptune
Aerobee AJ10-24,AJ,5.8,0.38,0.5,184.0,17.8,32.1,AJ10-24
Aerobee AJ10-25,AJ,5.8,0.38,0.5,184.0,17.8,32.1,AJ10-25
Aerobee AJ10-27,AJ,5.8,0.38,0.5,184.0,17.8,32.1,AJ10-27
Aerobee AJ10-34,AJ,5.8,0.38,0.5,184.0,17.8,32.1,AJ10-34
Aerobee XASR-1,AJ,5.8,0.38,0.7,184.0,11.6,32.1,XASR-1
Aerobee 150,AJGC,5.1,0.38,0.7,133.0,17.8,51.4,AJ11-6
Aerobee 150A,AJGC,5.1,0.38,0.6,133.0,17.8,51.4,AJ11-6
AJ60-92,AJGC,5.5,0.38,0.7,131.0,22.6,61.1,AJ60-92
Aerobee 100,AJ,3.6,0.38,0.5,119.0,11.5,40.0,Aerobee Jr
Lance,GCR,4.6,0.38,0.8,217.0,174.0,6.7,Lance
Skat,THKX,4.5,0.38,0.9,377.0,200.0,6.0,XM-45
Lance XM-45,THKX,4.9,0.38,0.8,,222.0,5.0,TX-77
Genie-Alarr,THKU,3.1,0.38,0.3,,,,MB-1
Genie,THKU,1.8,0.38,0.3,,156.0,1.5,MB-1
Ute,THKU,1.3,0.38,0.2,62.0,85.0,4.6,TU-715
Paiute,THKU,1.9,0.38,0.3,81.0,186.0,3.7,TU-716
Astrobee F,AJSP,7.3,0.38,1.3,250.0,36.4,51.1,Astrobee F
Cygnus 15,LARC/THKE,0.4,0.38,0.1,5.0,22.0,4.8,Cygnus 15
Cetus,LARC/THKE,0.5,0.38,0.1,10.0,40.0,20.0,NOTS 100A
ST-735-SB,NISST,4.7,0.38,0.3,356.0,0.0,0.0,
Nucleus,NAMMO,9.0,0.36,0.5,100.0,,,FWUM
Nazeat,IR,4.0,0.36,0.3,0.0,0.0,,Kavoshgar
Kavoshgar,IRSA,4.0,0.36,0.3,0.0,0.0,,Kavoshgar
Aerobee 75,AJSP,4.0,0.35,0.5,142.0,13.0,32.0,M22E8
Hawk,AJSP,5.0,0.35,0.6,,13.0,32.0,M22E8
Orion,AJSP,2.7,0.35,0.4,111.0,13.0,32.0,M22E8
Improved Orion,AJSP,1.8,0.35,0.4,,13.0,32.0,M112
Meteor-2,PAI,4.2,0.35,0.4,126.0,24.0,18.0,Meteor-2
10KS2500,THKE,2.9,0.35,0.1,,11.0,10.0,10KS2500
LS-A Booster,MHITO,3.0,0.35,0.4,,60.0,10.0,LS-A Booster
Qased-S3,IRGC,0.5,0.35,0.3,,,,Qased-S3
Mk 104,THKE,2.9,0.35,0.5,128.0,,,Mk 104
Mk 104 (ARC),ATLCA,2.9,0.35,0.5,128.0,,,Mk 104
Lynx,NAWC,3.0,0.35,0.5,,,,Mk 104
Mk 56,ATLR,4.5,0.35,0.6,,,,Mk 56
Mk 30,HUMS,3.5,0.35,0.4,,,,Mk 30
Iraqi Gun Projectile,SRCI,1.5,0.35,0.07,67.0,,,
NOTS 551,NOTS,3.0,0.34,0.4,85.0,,28.0,NOTS Mod 551-B
THAAD Proto,LMCO,3.8,0.34,0.6,,,,THAAD
THAAD,LMPCO,3.8,0.34,0.6,,,,THAAD
ASROC,UNK,4.5,0.34,0.4,40.0,49.0,,Mk 12 ASROC
Kappa 4 Booster,ISAS,3.3,0.33,0.15,,105.0,3.0,Kappa 4 Booster
Sandhawk,SAND,5.1,0.33,0.7,200.0,90.0,14.0,TE-473
Aerobee Booster,AJ,1.8,0.33,0.3,140.0,80.0,2.5,AJ60-80
VAM Booster,AJ,1.8,0.33,0.3,140.0,80.0,2.5,2.5KS18000
VAM-17,AJ,1.8,0.33,0.3,140.0,80.0,2.5,2.5KS18000
VAM-20,AJ,1.8,0.33,0.3,140.0,80.0,2.5,2.5KS18000
